run_id,run_type,num_nodes,graph_type,density_category,generated_density,density_value,mmd_density,generated_var_degree_dist,var_degree_dist_value,mmd_var_degree_dist,generated_tri,tri_value,mmd_tri,generated_spectral_ev_1,spectral_ev_1_value,mmd_spectral_ev_1,generated_spectral_ev_2,spectral_ev_2_value,mmd_spectral_ev_2,generated_spectral_ev_3,spectral_ev_3_value,mmd_spectral_ev_3,generated_spectral_ev_4,spectral_ev_4_value,mmd_spectral_ev_4,generated_spectral_ev_5,spectral_ev_5_value,mmd_spectral_ev_5,generated_bipartite,bipartite_value,mmd_samples,memorized_adj_pct,memorized_iso_pct,diversity_adj_pct,diversity_iso_pct
evaluation_results/18N_Bipartite/old_hpo1 copy 2/Sparse,Evaluation,18,Bipartite,Sparse,0.1622,0.0747,,2.1893,1.3631,0.2731,3.7441,0.0000,0.7880,1.4892,0.8922,1.5551,1.5961,1.1659,0.7323,1.6980,1.5716,0.2877,1.7951,1.8711,0.4981,1.8843,1.9900,0.7740,0.9766,100.0000,0.1383,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/run_20250717_212628/Dense,Evaluation,18,Bipartite,Dense,0.2302,0.3697,,2.8390,8.1728,1.2584,10.1816,0.0000,0.8740,1.4229,1.0000,1.7949,1.5099,1.0735,1.4418,1.5953,1.1950,1.1837,1.6842,1.3542,1.0243,1.7751,2.0000,1.2693,0.0000,100.0000,0.1794,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/run_20250717_212628/Medium,Evaluation,18,Bipartite,Medium,0.4589,0.1967,,4.5011,4.0951,0.0128,77.4688,0.0000,1.4015,1.2538,0.9800,1.7624,1.3100,1.1626,0.8426,1.3708,1.4119,0.7939,1.4406,1.6686,1.0662,1.5527,2.0000,1.7972,0.0000,100.0000,0.1325,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_Bipartite/run_20250717_212628/Sparse,Evaluation,18,Bipartite,Sparse,0.3842,0.0747,,3.8300,1.3631,0.8123,46.0664,0.0000,1.2244,1.2991,0.8922,1.5827,1.3642,1.1659,1.0299,1.4290,1.5716,0.9096,1.5017,1.8711,1.3451,1.5940,1.9900,1.7818,0.0000,100.0000,0.2211,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_ER/run_20250717_121147/Dense,Evaluation,18,ER,Dense,0.6974,0.8255,,3.2322,3.5899,0.1794,276.8359,467.4900,0.6469,1.1788,1.1350,0.5169,1.2119,1.1615,0.5140,1.2493,1.1878,0.5558,1.2926,1.2197,0.5745,1.3477,1.2614,0.5447,0.0000,0.0000,0.0454,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_ER/run_20250717_121147/Medium,Evaluation,18,ER,Medium,0.4454,0.4428,,3.7452,4.9400,-0.0007,72.0234,73.9410,0.0782,1.2732,1.2760,0.0070,1.3277,1.3292,0.0111,1.3863,1.3838,0.0404,1.4495,1.4460,0.0231,1.5279,1.5265,0.0368,0.0000,0.0000,0.0025,0.0000,0.0000,100.0000,100.0000
evaluation_results/18N_ER/run_20250717_121147/Sparse,Evaluation,18,ER,Sparse,0.3460,0.1497,,3.4542,2.8535,0.3904,33.5625,3.6400,1.0419,1.3322,1.5091,0.7784,1.3966,1.6367,0.9055,1.4636,1.7468,0.9374,1.5379,1.8323,1.0022,1.6256,1.9008,1.0607,0.0000,17.7000,0.0845,0.0000,0.0000,100.0000,100.0000
evaluation_results/8N_Bipartite/run_20250708_220824/Dense,Evaluation,8,Bipartite,Dense,0.3742,0.3110,,1.1724,1.3460,0.0098,2.3906,0.0000,0.4535,0.8822,0.8692,0.0927,1.1142,0.9766,0.2708,1.3798,1.1943,0.2474,1.6263,1.5671,0.0452,1.8519,1.9900,0.6647,16.2109,100.0000,0.0271,0.0000,14.2578,100.0000,89.4531
evaluation_results/8N_Bipartite/run_20250708_220824/Medium,Evaluation,8,Bipartite,Medium,0.3707,0.2887,,1.2256,1.2809,0.0446,2.5273,0.0000,0.4604,0.8784,0.7843,0.0719,1.1208,0.9734,0.1915,1.3922,1.2700,0.1870,1.6234,1.6621,0.1144,1.8423,1.9900,0.6739,14.2578,100.0000,0.0280,0.1953,13.4766,100.0000,92.1875
evaluation_results/8N_Bipartite/run_20250708_220824/Sparse,Evaluation,8,Bipartite,Sparse,0.3050,0.2256,,1.1411,1.0013,0.0606,1.4785,0.0000,0.3842,0.7455,0.6757,0.0299,1.0448,0.9549,0.0473,1.3737,1.3142,0.1102,1.6781,1.7440,0.1485,1.8885,1.9850,0.4324,30.2734,100.0000,0.0199,0.0000,25.9766,100.0000,75.5859
evaluation_results/8N_Bipartite/run_20250709_142105/Dense,Evaluation,8,Bipartite,Dense,0.3820,0.3110,,1.1731,1.3460,0.0112,2.6367,0.0000,0.4979,0.8874,0.8692,0.0808,1.1113,0.9766,0.2590,1.3798,1.1943,0.2724,1.6146,1.5671,0.0402,1.8433,1.9900,0.6794,14.6484,100.0000,0.0283,0.1953,13.0859,100.0000,90.2344
evaluation_results/8N_Bipartite/run_20250709_142105/Medium,Evaluation,8,Bipartite,Medium,0.3732,0.2887,,1.2441,1.2809,0.0543,2.5137,0.0000,0.4375,0.8839,0.7843,0.0537,1.1038,0.9734,0.1515,1.3870,1.2700,0.1918,1.6253,1.6621,0.1195,1.8474,1.9900,0.6386,17.5781,100.0000,0.0323,0.0000,16.9922,100.0000,91.9922
evaluation_results/8N_Bipartite/run_20250709_142105/Sparse,Evaluation,8,Bipartite,Sparse,0.2937,0.2256,,1.1556,1.0013,0.0694,1.2949,0.0000,0.3494,0.7326,0.6757,0.0203,1.0135,0.9549,0.0203,1.3744,1.3142,0.0936,1.6829,1.7440,0.1446,1.8995,1.9850,0.3915,31.8359,100.0000,0.0145,0.0000,26.9531,100.0000,75.5859
evaluation_results/8N_Bipartite/run_20250714_104340/Dense,Evaluation,8,Bipartite,Dense,0.3540,0.3110,,1.1412,1.3460,0.0021,2.1270,0.0000,0.5330,0.8345,0.8692,0.0917,1.0966,0.9766,0.2175,1.3930,1.1943,0.2562,1.6427,1.5671,0.0379,1.8602,1.9900,0.5727,19.5312,100.0000,0.0279,0.0000,17.3828,100.0000,84.9609
evaluation_results/8N_Bipartite/run_20250714_104340/Medium,Evaluation,8,Bipartite,Medium,0.3567,0.2887,,1.1906,1.2809,0.0318,2.2480,0.0000,0.4222,0.8500,0.7843,0.0506,1.1039,0.9734,0.1398,1.3924,1.2700,0.1794,1.6363,1.6621,0.0890,1.8533,1.9900,0.6210,17.7734,100.0000,0.0304,0.0000,17.1875,100.0000,89.6484
evaluation_results/8N_Bipartite/run_20250714_104340/Sparse,Evaluation,8,Bipartite,Sparse,0.3039,0.2256,,1.1832,1.0013,0.0858,1.3926,0.0000,0.3315,0.7564,0.6757,0.0260,1.0259,0.9549,0.0231,1.3560,1.3142,0.1012,1.6693,1.7440,0.1552,1.8951,1.9850,0.4051,33.5938,100.0000,0.0216,0.0000,28.1250,99.8047,75.7812
evaluation_results/8N_Bipartite/run_20250715_165138/Dense,Evaluation,8,Bipartite,Dense,0.2788,0.3110,,1.1290,1.3460,0.0055,1.1172,0.0000,0.3078,0.6911,0.8692,0.1493,1.0114,0.9766,0.1110,1.3729,1.1943,0.1532,1.6977,1.5671,0.0665,1.9077,1.9900,0.3734,34.9609,100.0000,0.0386,0.0000,25.7812,100.0000,68.9453
evaluation_results/8N_Bipartite/run_20250715_165138/Medium,Evaluation,8,Bipartite,Medium,0.3066,0.2887,,1.0889,1.2809,0.0085,1.3672,0.0000,0.3555,0.7848,0.7843,0.0427,1.0715,0.9734,0.0814,1.4036,1.2700,0.1258,1.6893,1.6621,0.0401,1.9019,1.9900,0.3935,31.6406,100.0000,0.0283,0.1953,31.0547,100.0000,76.9531
evaluation_results/8N_Bipartite/run_20250715_165138/Sparse,Evaluation,8,Bipartite,Sparse,0.2539,0.2256,,1.0610,1.0013,0.0344,0.9766,0.0000,0.2080,0.6105,0.6757,0.0051,0.9321,0.9549,0.0088,1.3219,1.3142,0.0216,1.6935,1.7440,0.0695,1.9251,1.9850,0.2438,48.6328,100.0000,0.0152,0.1953,45.5078,100.0000,59.7656
evaluation_results/8N_ER/run_20250709_142102/Dense,Evaluation,8,ER,Dense,0.6630,0.7618,,1.2091,1.1482,0.0115,16.4883,24.3650,0.3014,1.0305,1.0652,0.0479,1.1569,1.1545,0.0485,1.2647,1.2197,0.1162,1.4052,1.3333,0.1659,1.5590,1.4815,0.1409,0.0000,0.0000,0.0199,0.0000,27.1484,99.8047,87.1094
evaluation_results/8N_ER/run_20250709_142102/Medium,Evaluation,8,ER,Medium,0.4648,0.4420,,1.3302,1.4612,-0.0010,5.5312,4.3100,0.0279,0.9418,0.9519,-0.0022,1.1501,1.1554,0.0083,1.3517,1.3636,0.0125,1.5376,1.5586,0.0098,1.7444,1.7595,0.0032,1.9531,0.5000,0.0004,0.0000,3.5156,100.0000,97.2656
evaluation_results/8N_ER/run_20250709_142102/Sparse,Evaluation,8,ER,Sparse,0.3138,0.2207,,1.1675,1.0830,0.0100,1.8652,0.5650,0.1285,0.7583,0.5865,0.0815,1.0361,0.9625,0.0521,1.3884,1.3432,0.0803,1.6837,1.7258,0.0718,1.8693,1.9470,0.1697,25.7812,51.5000,0.0172,0.0000,31.6406,100.0000,77.5391
simulation_results/8N_Bipartite/run_20250708_220824/Dense,Evaluation,8,Bipartite,Dense,0.3511,0.3110,,1.0791,1.3460,-0.0006,1.6836,0.0000,0.4583,0.8496,0.8692,0.0992,1.0989,0.9766,0.1794,1.3819,1.1943,0.2296,1.6547,1.5671,0.0401,1.8866,1.9900,0.5323,24.6094,100.0000,0.0210,0.3906,21.2891,99.6094,83.7891
simulation_results/8N_Bipartite/run_20250708_220824/Medium,Evaluation,8,Bipartite,Medium,0.3324,0.2887,,1.0685,1.2809,0.0101,1.4062,0.0000,0.3774,0.8198,0.7843,0.0299,1.0704,0.9734,0.0957,1.3810,1.2700,0.1451,1.6654,1.6621,0.0549,1.8987,1.9900,0.4494,29.2969,100.0000,0.0203,0.0000,28.1250,100.0000,79.4922
simulation_results/8N_Bipartite/run_20250708_220824/Sparse,Evaluation,8,Bipartite,Sparse,0.2675,0.2256,,0.9923,1.0013,0.0176,0.7793,0.0000,0.1811,0.6538,0.6757,0.0041,0.9644,0.9549,0.0095,1.3459,1.3142,0.0448,1.7002,1.7440,0.0643,1.9338,1.9850,0.2521,50.5859,100.0000,0.0102,0.3906,45.5078,99.4141,62.8906
simulation_results/8N_Bipartite/run_20250709_142105/Dense,Evaluation,8,Bipartite,Dense,0.3503,0.3110,,1.0737,1.3460,0.0028,1.5430,0.0000,0.3969,0.8490,0.8692,0.0906,1.0913,0.9766,0.1644,1.3723,1.1943,0.2241,1.6463,1.5671,0.0364,1.8960,1.9900,0.4671,29.6875,100.0000,0.0195,0.0000,26.7578,100.0000,85.9375
simulation_results/8N_Bipartite/run_20250709_142105/Medium,Evaluation,8,Bipartite,Medium,0.3313,0.2887,,1.0955,1.2809,0.0147,1.4727,0.0000,0.4098,0.8161,0.7843,0.0505,1.0792,0.9734,0.0934,1.3893,1.2700,0.1346,1.6643,1.6621,0.0465,1.8911,1.9900,0.4542,30.8594,100.0000,0.0233,0.0000,30.4688,99.8047,81.4453
simulation_results/8N_Bipartite/run_20250709_142105/Sparse,Evaluation,8,Bipartite,Sparse,0.2550,0.2256,,0.9991,1.0013,0.0276,0.5703,0.0000,,0.6341,0.6757,-0.0001,0.9301,0.9549,0.0044,1.3281,1.3142,0.0320,1.7115,1.7440,0.0499,1.9525,1.9850,0.1032,62.3047,100.0000,0.0045,0.0000,53.3203,99.8047,56.2500
simulation_results/8N_Bipartite/run_20250714_104340/Dense,Evaluation,8,Bipartite,Dense,0.3308,0.3110,,1.0276,1.3460,-0.0005,1.3027,0.0000,0.3384,0.8223,0.8692,0.0926,1.0760,0.9766,0.1347,1.3809,1.1943,0.1979,1.6670,1.5671,0.0410,1.9111,1.9900,0.4138,34.5703,100.0000,0.0239,0.0000,29.2969,99.6094,78.3203
simulation_results/8N_Bipartite/run_20250714_104340/Medium,Evaluation,8,Bipartite,Medium,0.3144,0.2887,,1.0365,1.2809,0.0045,1.1973,0.0000,0.3326,0.7894,0.7843,0.0456,1.0862,0.9734,0.1013,1.4111,1.2700,0.1463,1.6879,1.6621,0.0348,1.9097,1.9900,0.3829,35.9375,100.0000,0.0254,0.0000,35.9375,99.8047,76.7578
simulation_results/8N_Bipartite/run_20250714_104340/Sparse,Evaluation,8,Bipartite,Sparse,0.2618,0.2256,,1.0209,1.0013,0.0264,0.7266,0.0000,0.1489,0.6670,0.6757,-0.0018,0.9559,0.9549,0.0019,1.3454,1.3142,0.0352,1.7111,1.7440,0.0523,1.9401,1.9850,0.2288,54.8828,100.0000,0.0118,0.1953,48.6328,99.0234,59.3750
simulation_results/8N_Bipartite/run_20250715_165138/Dense,Evaluation,8,Bipartite,Dense,0.2403,0.3110,,0.9357,1.3460,0.0084,0.5840,0.0000,,0.5882,0.8692,0.2083,0.9241,0.9766,0.0959,1.3476,1.1943,0.1147,1.7424,1.5671,0.1174,1.9474,1.9900,0.0817,63.0859,100.0000,0.0399,0.3906,45.3125,100.0000,52.5391
simulation_results/8N_Bipartite/run_20250715_165138/Medium,Evaluation,8,Bipartite,Medium,0.2704,0.2887,,1.0115,1.2809,-0.0008,0.8223,0.0000,,0.6635,0.7843,0.0589,1.0029,0.9734,0.0401,1.3704,1.2700,0.0607,1.7122,1.6621,0.0119,1.9360,1.9900,0.2379,52.1484,100.0000,0.0270,0.0000,51.9531,100.0000,63.6719
simulation_results/8N_Bipartite/run_20250715_165138/Sparse,Evaluation,8,Bipartite,Sparse,0.2255,0.2256,,0.9235,1.0013,0.0022,0.3867,0.0000,,0.5350,0.6757,0.0354,0.8590,0.9549,0.0100,1.2720,1.3142,0.0046,1.7149,1.7440,0.0077,1.9618,1.9850,0.0416,69.3359,100.0000,0.0051,0.1953,63.2812,99.0234,43.7500
simulation_results/8N_ER/run_20250709_142102/Dense,Evaluation,8,ER,Dense,0.7003,0.7618,,1.1433,1.1482,0.0030,19.4043,24.3650,0.1474,1.0414,1.0652,0.0216,1.1545,1.1545,0.0130,1.2558,1.2197,0.0772,1.3801,1.3333,0.0766,1.5255,1.4815,0.0518,0.0000,0.0000,0.0094,0.0000,40.0391,100.0000,75.5859
simulation_results/8N_ER/run_20250709_142102/Medium,Evaluation,8,ER,Medium,0.4610,0.4420,,1.2721,1.4612,-0.0027,5.5449,4.3100,0.0249,0.9424,0.9519,-0.0006,1.1497,1.1554,0.0048,1.3597,1.3636,0.0038,1.5452,1.5586,0.0060,1.7432,1.7595,0.0153,3.1250,0.5000,-0.0005,0.0000,3.1250,100.0000,98.0469
simulation_results/8N_ER/run_20250709_142102/Sparse,Evaluation,8,ER,Sparse,0.2862,0.2207,,1.1190,1.0830,0.0028,1.4746,0.5650,0.0816,0.6801,0.5865,0.0300,1.0192,0.9625,0.0341,1.3810,1.3432,0.0510,1.6673,1.7258,0.0555,1.8938,1.9470,0.0950,31.8359,51.5000,0.0098,0.0000,41.9922,100.0000,72.4609
