Dataset,graph_type,density_category,density_diff,var_degree_dist_diff,tri_diff,bipartite_value,generated_bipartite,memorized_iso_pct,diversity_iso_pct
BP-8 Dense,Bipartite,Dense,-0.0322,-0.217,1.1172,100,34.9609,25.7812,68.9453
BP-8 Medium,Bipartite,Medium,0.0179,-0.192,1.3672,100,31.6406,31.0547,76.9531
BP-8 Sparse,Bipartite,Sparse,0.0283,0.0597,0.9766,100,48.6328,45.5078,59.7656
ER-8 Dense,ER,Dense,-0.0988,0.0609,-7.8767,0,0,27.1484,87.1094
ER-8 Medium,ER,Medium,0.0228,-0.131,1.2213,0.5,1.9531,3.5156,97.2656
ER-8 Sparse,ER,Sparse,0.093,0.0845,1.3002,51.5,25.7812,31.6406,77.5391
10,Bipartite,Dense,-0.0599,-0.6765,2.6445,100,12.3047,0.3906,99.2188
10,Bipartite,Medium,0.0114,-0.3904,1.166,100,43.1641,14.0625,93.1641
10,Bipartite,Sparse,0.0044,-0.0403,0.4844,100,65.2344,53.125,83.2031
10,ER,Dense,-0.0668,0.0176,-13.5681,0,0,5.2734,99.0234
10,ER,Medium,0.0192,-0.3338,1.5686,0.2,0,0,100
10,ER,Sparse,0.0557,0.1005,1.0955,33.8,17.9688,12.8906,96.0938
14,Bipartite,Dense,0.1234,-0.6403,44.3398,100,0,0,100
14,Bipartite,Medium,0.0386,-0.5199,5.668,100,0.7812,0,100
14,Bipartite,Sparse,0.1353,0.8918,5.1445,100,0.5859,0,100
14,ER,Dense,-0.0959,-0.0927,-63.5252,0,0,0,100
14,ER,Medium,0.0291,-0.5996,6.474,0,0,0,100
14,ER,Sparse,0.1183,0.3988,6.1716,27.9,0,0,100
18,Bipartite,Dense,0.0517,-3.1803,61.6465,100,0,0,100
18,Bipartite,Medium,0.0445,-0.6009,9.6133,100,0.1953,0,100
18,Bipartite,Sparse,0.0258,0.3821,1.1934,100,25.7812,2.3438,100
18,ER,Dense,-0.1016,-0.4572,-157.4314,0,0,0,100
18,ER,Medium,0.0026,-1.1949,-1.9176,0,0,0,100
18,ER,Sparse,0.1397,0.4485,16.7135,17.7,0,0,100