run_type,dataset_name,model,num_samples,bipartite_diff,edge_prob_diff,generated_bipartite_pct,dataset_bipartite_pct,generated_edge_prob,dataset_edge_prob,full_path
Evaluation,8N_Bipartite_Dense,Dense,512,-83.7891,0.0631,16.2109,100,0.3742,0.311,results/evaluation_results/8N_Bipartite/run_20250708_220824/Dense
Evaluation,8N_Bipartite_Medium,Medium,512,-85.7422,0.0819,14.2578,100,0.3707,0.2887,results/evaluation_results/8N_Bipartite/run_20250708_220824/Medium
Evaluation,8N_Bipartite_Sparse,Sparse,512,-69.7266,0.0794,30.2734,100,0.305,0.2256,results/evaluation_results/8N_Bipartite/run_20250708_220824/Sparse
Evaluation,8N_Bipartite_Dense,Dense,512,-85.3516,0.0709,14.6484,100,0.382,0.311,results/evaluation_results/8N_Bipartite/run_20250709_142105/Dense
Evaluation,8N_Bipartite_Medium,Medium,512,-82.4219,0.0844,17.5781,100,0.3732,0.2887,results/evaluation_results/8N_Bipartite/run_20250709_142105/Medium
Evaluation,8N_Bipartite_Sparse,Sparse,512,-68.1641,0.0682,31.8359,100,0.2937,0.2256,results/evaluation_results/8N_Bipartite/run_20250709_142105/Sparse
Evaluation,8N_Bipartite_Dense,Dense,512,-80.4688,0.043,19.5312,100,0.354,0.311,results/evaluation_results/8N_Bipartite/run_20250714_104340/Dense
Evaluation,8N_Bipartite_Medium,Medium,512,-82.2266,0.0679,17.7734,100,0.3567,0.2887,results/evaluation_results/8N_Bipartite/run_20250714_104340/Medium
Evaluation,8N_Bipartite_Sparse,Sparse,512,-66.4062,0.0784,33.5938,100,0.3039,0.2256,results/evaluation_results/8N_Bipartite/run_20250714_104340/Sparse
Evaluation,8N_Bipartite_Dense,Dense,512,-65.0391,-0.0322,34.9609,100,0.2788,0.311,results/evaluation_results/8N_Bipartite/run_20250715_165138/Dense
Evaluation,8N_Bipartite_Medium,Medium,512,-68.3594,0.0179,31.6406,100,0.3066,0.2887,results/evaluation_results/8N_Bipartite/run_20250715_165138/Medium
Evaluation,8N_Bipartite_Sparse,Sparse,512,-51.3672,0.0283,48.6328,100,0.2539,0.2256,results/evaluation_results/8N_Bipartite/run_20250715_165138/Sparse
Evaluation,8N_ER_Dense,Dense,512,0,-0.0988,0,0,0.663,0.7618,results/evaluation_results/8N_ER/run_20250709_142102/Dense
Evaluation,8N_ER_Medium,Medium,512,1.4531,0.0228,1.9531,0.5,0.4648,0.442,results/evaluation_results/8N_ER/run_20250709_142102/Medium
Evaluation,8N_ER_Sparse,Sparse,512,-25.7188,0.093,25.7812,51.5,0.3138,0.2207,results/evaluation_results/8N_ER/run_20250709_142102/Sparse
Simulation,8N_Bipartite_Dense,Dense,512,-69.3359,0.0352,30.6641,100,0.3463,0.311,results/simulation_results/8N_Bipartite/run_20250708_220824/Dense
Simulation,8N_Bipartite_Medium,Medium,512,-70.1172,0.0412,29.8828,100,0.3299,0.2887,results/simulation_results/8N_Bipartite/run_20250708_220824/Medium
Simulation,8N_Bipartite_Sparse,Sparse,512,-46.0938,0.0416,53.9062,100,0.2672,0.2256,results/simulation_results/8N_Bipartite/run_20250708_220824/Sparse
Simulation,8N_Bipartite_Dense,Dense,512,-70.3125,0.04,29.6875,100,0.3511,0.311,results/simulation_results/8N_Bipartite/run_20250709_142105/Dense
Simulation,8N_Bipartite_Medium,Medium,512,-69.5312,0.0381,30.4688,100,0.3268,0.2887,results/simulation_results/8N_Bipartite/run_20250709_142105/Medium
Simulation,8N_Bipartite_Sparse,Sparse,512,-39.4531,0.0301,60.5469,100,0.2557,0.2256,results/simulation_results/8N_Bipartite/run_20250709_142105/Sparse
Simulation,8N_Bipartite_Dense,Dense,512,-68.5547,0.0234,31.4453,100,0.3344,0.311,results/simulation_results/8N_Bipartite/run_20250714_104340/Dense
Simulation,8N_Bipartite_Medium,Medium,512,-64.0625,0.0257,35.9375,100,0.3145,0.2887,results/simulation_results/8N_Bipartite/run_20250714_104340/Medium
Simulation,8N_Bipartite_Sparse,Sparse,512,-45.7031,0.0384,54.2969,100,0.264,0.2256,results/simulation_results/8N_Bipartite/run_20250714_104340/Sparse
Simulation,8N_Bipartite_Dense,Dense,512,-35.1562,-0.0744,64.8438,100,0.2367,0.311,results/simulation_results/8N_Bipartite/run_20250715_165138/Dense
Simulation,8N_Bipartite_Medium,Medium,512,-52.5391,-0.0164,47.4609,100,0.2724,0.2887,results/simulation_results/8N_Bipartite/run_20250715_165138/Medium
Simulation,8N_Bipartite_Sparse,Sparse,512,-29.6875,-0.0026,70.3125,100,0.2229,0.2256,results/simulation_results/8N_Bipartite/run_20250715_165138/Sparse
Simulation,8N_ER_Dense,Dense,512,0,-0.0635,0,0,0.6982,0.7618,results/simulation_results/8N_ER/run_20250709_142102/Dense
Simulation,8N_ER_Medium,Medium,512,2.0391,0.0209,2.5391,0.5,0.4629,0.442,results/simulation_results/8N_ER/run_20250709_142102/Medium
Simulation,8N_ER_Sparse,Sparse,512,-24.9375,0.0752,26.5625,51.5,0.2959,0.2207,results/simulation_results/8N_ER/run_20250709_142102/Sparse